,company,symbol,industry,offer_date,shares (millions),offer price,1st day close,current price,return,scoop rating,date_type,source,lead managers,price low,price high,est. $ volume,expected to trade,rating change,offer date,expected trade weekday,market_cap_offered
86,MINISO Group Holding Limited,MNSO,Consumer Goods,2020-10-15,30.4,$20.00,$20.88,$20.10,0.50%,S/O,Confirmed,IPO Scoop,,,,,,,,,
87,"Aligos Therapeutics, Inc.",ALGS,Health Care,2020-10-16,10.0,$15.00,$14.85,$18.16,21.07%,S/O,Confirmed,IPO Scoop,,,,,,,,,
88,"Codiak BioSciences, Inc.",CDAK,Health Care,2020-10-14,5.5,$15.00,$12.12,$9.61,-35.93%,S/O,Confirmed,IPO Scoop,,,,,,,,,
89,"ROOT, INC.",ROOT,Financials,2020-10-28,26.8,$27.00,$27.00,$17.23,-36.19%,S/O,Confirmed,IPO Scoop,,,,,,,,,
90,Gatos Silver,GATO,Basic Materials,2020-10-28,21.4,$7.00,$6.60,$6.72,-4.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
91,Ozon Holdings PLC,OZON,Consumer Goods,2020-11-24,33.0,$30.00,$40.18,$40.00,33.33%,S/O,Confirmed,IPO Scoop,,,,,,,,,
92,Vision Marine Technologies,VMAR,Consumer Goods,2020-11-24,2.4,$10.00,$14.44,$14.12,41.20%,S/O,Confirmed,IPO Scoop,,,,,,,,,
93,Maravai LifeSciences Holdings,MRVI,Health Care,2020-11-20,60.0,$27.00,$0.00,$29.16,8.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
94,Sotera Health Company,SHC,Health Care,2020-11-20,46.6,$23.00,$0.00,$27.97,21.61%,S/O,Confirmed,IPO Scoop,,,,,,,,,
95,NeoGames S.A.,NGMS,Consumer Services,2020-11-19,4.8,$17.00,$21.87,$21.54,26.71%,S/O,Confirmed,IPO Scoop,,,,,,,,,
96,Olema Pharmaceuticals,OLMA,Health Care,2020-11-19,11.0,$19.00,$49.00,$49.80,162.11%,S/O,Confirmed,IPO Scoop,,,,,,,,,
97,"MediaAlpha, Inc.",MAX,Financials,2020-10-28,9.3,$19.00,$31.86,$38.93,104.89%,S/O,Confirmed,IPO Scoop,,,,,,,,,
98,Yatsen Holding Limited,YSG,Consumer Goods,2020-11-19,58.8,$10.50,$18.40,$17.58,67.43%,S/O,Confirmed,IPO Scoop,,,,,,,,,
99,Lufax Holding Ltd,LU,Financials,2020-10-30,175.0,$13.50,$12.85,$15.19,12.52%,S/O,Confirmed,IPO Scoop,,,,,,,,,
100,SQZ Biotechnologies,SQZ,Health Care,2020-10-30,4.4,$16.00,$13.25,$31.29,95.56%,S/O,Confirmed,IPO Scoop,,,,,,,,,
101,Allegro MicroSystems,ALGM,Technology,2020-10-29,25.0,$14.00,$17.70,$25.41,81.50%,S/O,Confirmed,IPO Scoop,,,,,,,,,
102,Galecto,GLTO,Health Care,2020-10-29,5.7,$15.00,$15.00,$15.85,5.67%,S/O,Confirmed,IPO Scoop,,,,,,,,,
103,Leslie’s,LESL,Consumer Goods,2020-10-29,40.0,$17.00,$21.70,$20.00,17.65%,S/O,Confirmed,IPO Scoop,,,,,,,,,
104,Biodesix,BDSX,Health Care,2020-10-28,4.0,$18.00,$12.81,$16.94,-5.89%,S/O,Confirmed,IPO Scoop,,,,,,,,,
105,Atea Pharmaceuticals,AVIR,Health Care,2020-10-30,12.5,$24.00,$30.34,$34.44,43.50%,S/O,Confirmed,IPO Scoop,,,,,,,,,
106,iHuman Inc.,IH,Consumer Services,2020-10-09,7.0,$12.00,$16.00,$28.91,140.92%,S/O,Confirmed,IPO Scoop,,,,,,,,,
107,"Kronos Bio, Inc.",KRON,Health Care,2020-10-09,13.2,$19.00,$27.07,$34.68,82.53%,S/O,Confirmed,IPO Scoop,,,,,,,,,
108,"Spruce Biosciences, Inc.",SPRB,Health Care,2020-10-09,6.0,$15.00,$17.00,$32.42,116.13%,S/O,Confirmed,IPO Scoop,,,,,,,,,
109,Greenwich LifeSciences,GLSI,Health Care,2020-09-25,1.3,$5.75,$5.00,$5.35,-6.96%,S/O,Confirmed,IPO Scoop,,,,,,,,,
110,PMV Pharmaceuticals,PMVP,Health Care,2020-09-25,11.8,$18.00,$37.51,$35.21,95.61%,S/O,Confirmed,IPO Scoop,,,,,,,,,
111,Prelude Therapeutics,PRLD,Health Care,2020-09-25,8.3,$19.00,$26.20,$47.67,150.89%,S/O,Confirmed,IPO Scoop,,,,,,,,,
112,VIA optronics AG,VIAO,Technology,2020-09-25,6.3,$15.00,$10.18,$11.53,-23.13%,S/O,Confirmed,IPO Scoop,,,,,,,,,
113,"Taysha Gene Therapies, Inc.",TSHA,Health Care,2020-09-24,7.9,$20.00,$24.06,$21.43,7.15%,S/O,Confirmed,IPO Scoop,,,,,,,,,
114,Bentley Systems,BSY,Technology,2020-09-23,10.8,$22.00,$33.49,$35.50,61.36%,S/O,Confirmed,IPO Scoop,,,,,,,,,
115,Graybug Vision,GRAY,Health Care,2020-09-25,5.6,$16.00,$16.50,$23.50,46.88%,S/O,Confirmed,IPO Scoop,,,,,,,,,
116,Corsair Gaming,CRSR,Technology,2020-09-23,14.0,$17.00,$14.25,$38.77,128.06%,S/O,Confirmed,IPO Scoop,,,,,,,,,
117,"Laird Superfood, Inc.",LSF,Consumer Goods,2020-09-23,2.7,$22.00,$40.80,$48.05,118.41%,S/O,Confirmed,IPO Scoop,,,,,,,,,
118,Athira Pharma,ATHA,Health Care,2020-09-18,12.0,$17.00,$17.11,$24.01,41.24%,S/O,Confirmed,IPO Scoop,,,,,,,,,
119,COMPASS Pathways plc,CMPS,Health Care,2020-09-18,7.5,$17.00,$29.00,$47.45,179.12%,S/O,Confirmed,IPO Scoop,,,,,,,,,
120,Unity Software Inc.,U,Technology,2020-09-18,25.0,$52.00,$68.35,$147.62,183.88%,S/O,Confirmed,IPO Scoop,,,,,,,,,
121,Vitru Ltd.,VTRU,Consumer Services,2020-09-18,6.0,$16.00,$16.00,$14.10,-11.88%,S/O,Confirmed,IPO Scoop,,,,,,,,,
122,American Well Corp.,AMWL,Health Care,2020-09-17,41.2,$18.00,$23.95,$26.09,44.94%,S/O,Confirmed,IPO Scoop,,,,,,,,,
123,GoodRx Holdings,GDRX,Technology,2020-09-23,34.6,$33.00,$50.50,$38.20,15.76%,S/O,Confirmed,IPO Scoop,,,,,,,,,
124,Amesite,AMST,Technology,2020-09-25,3.0,$5.00,$5.22,$4.60,-8.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
125,Orphazyme A/S,ORPH,Health Care,2020-09-29,7.6,$11.00,$9.71,$9.73,-11.55%,S/O,Confirmed,IPO Scoop,,,,,,,,,
126,Yalla Group Limited,YALA,Technology,2020-09-30,18.6,$7.50,$7.00,$10.81,44.13%,S/O,Confirmed,IPO Scoop,,,,,,,,,
127,"AZIYO BIOLOGICS, INC.",AZYO,Health Care,2020-10-08,2.9,$17.00,$14.50,$13.55,-20.29%,S/O,Confirmed,IPO Scoop,,,,,,,,,
128,"fuboTV Inc. (formerly FaceBank Group, Inc.)",FUBO,Consumer Services,2020-10-08,18.3,$10.00,$10.58,$27.10,171.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
129,Presidio Property Trust,SQFT,Financials,2020-10-07,0.5,$5.00,$4.60,$2.83,-43.40%,S/O,Confirmed,IPO Scoop,,,,,,,,,
130,Academy Sports + Outdoors,ASO,Consumer Goods,2020-10-02,15.6,$13.00,$12.99,$16.58,27.54%,S/O,Confirmed,IPO Scoop,,,,,,,,,
131,"C4 Therapeutics, Inc.",CCCC,Health Care,2020-10-02,9.6,$19.00,$25.49,$35.87,88.79%,S/O,Confirmed,IPO Scoop,,,,,,,,,
132,"IMMUNOME, INC.",IMNM,Health Care,2020-10-02,3.3,$12.00,$13.45,$10.95,-8.75%,S/O,Confirmed,IPO Scoop,,,,,,,,,
133,Pactiv Evergreen,PTVE,Consumer Goods,2020-09-17,41.0,$14.00,$10.93,$16.68,19.14%,S/O,Confirmed,IPO Scoop,,,,,,,,,
134,"Oncorus, Inc.",ONCR,Health Care,2020-10-02,5.8,$15.00,$16.00,$25.13,67.53%,S/O,Confirmed,IPO Scoop,,,,,,,,,
135,"Mission Produce, Inc.",AVO,Consumer Goods,2020-10-01,8.0,$12.00,$13.80,$13.34,11.17%,S/O,Confirmed,IPO Scoop,,,,,,,,,
136,Pulmonx Corp.,LUNG,Health Care,2020-10-01,10.0,$19.00,$39.31,$55.00,189.47%,S/O,Confirmed,IPO Scoop,,,,,,,,,
137,"Thryv Holdings, Inc.",THRY,Consumer Services,2020-10-01,26.7,$10.17,$11.08,$9.62,-5.41%,S/O,Confirmed,IPO Scoop,,,,,,,,,
138,Boqii Holding Limited,BQ,Consumer Goods,2020-09-30,7.0,$10.00,$7.20,$6.61,-33.90%,S/O,Confirmed,IPO Scoop,,,,,,,,,
139,Chindata Group Holdings Limited,CD,Technology,2020-09-30,40.0,$13.50,$16.23,$19.13,41.70%,S/O,Confirmed,IPO Scoop,,,,,,,,,
140,Palantir Technologies,PLTR,Technology,2020-09-30,257.1,$7.25,$9.50,$27.66,281.52%,S/O,Confirmed,IPO Scoop,,,,,,,,,
141,"Lixiang Education Holding Co., Ltd.",LXEH,Consumer Services,2020-10-01,3.3,$9.25,$7.50,$9.26,0.11%,S/O,Confirmed,IPO Scoop,,,,,,,,,
142,Seaport Global Acquisition Corp.,SGAMU,,,12.5,,,,,S/O,Expected,IPO Scoop,B. Riley Securities,10.0,10.0,$ 125.0 mil,12/1/2020 Tuesday,S/O,12/1/2020,Tuesday,
143,Seaport Global Acquisition Corp,SGAMU,,2020-11-30,,,,,,,Expected,Nasdaq,,,,,,,,,"$143,750,000.00"
